# Format: name;agents;grid;obstacles;max_time
20x20_5a_5obs;[(2,2),(17,17)],[(2,1),(16,6)],[(4,11),(15,5)],[(0,9),(15,13)],[(3,5),(18,1)];(20,20);[(16,12),(14,13),(11,14),(16,9),(15,12),(7,3),(5,6),(16,1),(12,3),(8,8),(14,11),(0,17),(12,7),(4,1),(4,18),(3,6),(9,13),(12,0),(14,5),(7,13)];300
20x20_10a_15obs;[(1,3),(16,11)],[(0,1),(18,11)],[(2,3),(16,5)],[(4,11),(17,12)],[(3,15),(17,2)],[(1,14),(17,0)],[(4,15),(18,0)],[(3,9),(19,8)],[(3,8),(15,13)],[(0,19),(16,16)];(20,20);[(17,13),(11,14),(0,14),(2,4),(17,5),(12,13),(16,17),(4,14),(16,9),(12,16),(16,0),(11,18),(9,7),(2,14),(12,14),(1,12),(5,6),(8,13),(5,4),(15,16),(12,4),(8,7),(12,11),(0,11),(5,17),(4,3),(7,6),(4,13),(15,0),(9,13),(11,16),(8,12),(14,2),(8,18),(9,1),(13,7),(4,17),(11,3),(7,8),(18,7),(0,12),(7,18),(12,0),(18,18),(0,2),(0,8),(6,7),(5,3),(17,7),(17,14),(8,16),(16,14),(1,0),(4,19),(15,6),(5,15),(1,13),(6,11),(7,13),(2,16)];300
20x20_15a_10obs;[(4,2),(19,16)],[(2,19),(19,18)],[(0,7),(18,18)],[(3,5),(16,4)],[(1,17),(17,13)],[(4,16),(16,1)],[(1,15),(18,2)],[(1,16),(18,6)],[(0,13),(16,6)],[(0,17),(19,2)],[(4,18),(19,19)],[(0,8),(18,12)],[(3,16),(15,7)],[(1,18),(19,9)],[(4,19),(18,8)];(20,20);[(2,0),(2,16),(16,19),(0,12),(15,12),(16,12),(18,3),(16,16),(15,8),(4,4),(3,4),(14,18),(19,6),(16,5),(2,11),(19,3),(5,15),(16,18),(16,14),(9,16),(12,17),(14,8),(19,5),(14,6),(0,5),(9,2),(13,12),(8,8),(11,6),(15,5),(15,4),(16,17),(11,19),(5,7),(2,6),(15,2),(13,6),(5,14),(13,13),(3,15)];300
20x20_5a_20obs;[(4,0),(19,14)],[(3,4),(16,19)],[(4,1),(19,13)],[(4,4),(19,4)],[(0,6),(15,15)];(20,20);[(9,11),(16,12),(14,18),(0,7),(16,16),(7,5),(6,16),(18,5),(4,17),(11,4),(9,17),(2,8),(16,2),(3,3),(16,7),(2,6),(18,11),(18,8),(17,9),(9,3),(12,17),(12,3),(18,17),(3,2),(14,0),(1,0),(9,16),(4,11),(15,12),(15,0),(11,16),(19,18),(5,17),(11,7),(9,19),(14,8),(13,13),(18,12),(19,15),(2,17),(17,4),(8,5),(7,16),(6,17),(14,12),(6,7),(12,1),(16,9),(2,2),(3,5),(2,18),(1,12),(2,19),(15,19),(13,1),(5,6),(0,1),(5,11),(19,7),(13,11),(12,19),(5,15),(12,0),(17,8),(1,11),(3,11),(5,16),(6,6),(8,4),(2,1),(2,0),(12,2),(7,11),(6,18),(12,6),(7,7),(12,14),(8,8),(1,4),(13,3)];300
20x20_2a_25obs;[(4,18),(15,4)],[(4,6),(17,2)];(20,20);[(1,19),(14,11),(11,11),(15,3),(0,12),(19,6),(18,11),(1,15),(6,0),(12,13),(8,3),(19,8),(12,5),(8,1),(2,5),(17,0),(3,4),(19,1),(8,9),(5,13),(17,6),(18,4),(11,8),(18,14),(14,13),(14,14),(19,17),(16,0),(9,11),(12,14),(13,4),(8,8),(14,19),(0,15),(9,5),(16,2),(12,16),(9,14),(12,8),(3,17),(15,12),(4,17),(12,2),(0,6),(5,0),(0,14),(17,9),(11,2),(7,1),(15,18),(7,14),(16,9),(5,16),(5,3),(3,7),(2,8),(18,17),(0,13),(11,9),(6,16),(13,11),(17,1),(18,19),(11,14),(4,5),(5,8),(11,18),(7,5),(5,19),(5,15),(7,11),(6,12),(3,11),(5,18),(9,17),(11,12),(18,0),(5,7),(5,6),(19,19),(0,11),(4,13),(9,16),(3,0),(2,11),(11,7),(6,9),(18,16),(18,18),(0,18),(8,19),(6,19),(1,18),(0,4),(17,4),(19,15),(14,18),(13,6),(0,8),(14,16)];300
25x25_5a_5obs;[(5,23),(18,15)],[(2,3),(21,23)],[(2,1),(23,4)],[(5,16),(21,4)],[(0,17),(24,6)];(25,25);[(5,11),(3,4),(20,20),(20,15),(16,16),(5,3),(17,21),(6,2),(18,16),(1,24),(22,0),(1,17),(9,2),(22,13),(9,4),(1,5),(18,10),(4,22),(4,16),(3,22),(22,23),(19,4),(22,10),(17,18),(22,7),(24,11),(10,5),(11,3),(17,5),(4,9),(8,6)];300
25x25_10a_15obs;[(2,0),(18,4)],[(4,9),(23,8)],[(5,11),(24,2)],[(2,7),(18,14)],[(5,10),(20,23)],[(3,21),(24,4)],[(5,20),(22,1)],[(1,1),(22,7)],[(4,14),(19,19)],[(3,9),(22,8)];(25,25);[(11,17),(4,8),(13,22),(23,1),(17,3),(24,16),(5,18),(11,22),(14,17),(20,3),(16,8),(5,4),(3,4),(13,20),(21,4),(3,0),(13,7),(20,2),(11,11),(5,21),(17,20),(4,5),(1,6),(24,0),(16,7),(21,1),(6,14),(7,10),(10,7),(2,18),(8,18),(6,15),(20,15),(1,3),(20,19),(17,5),(6,4),(18,15),(15,9),(13,4),(18,21),(5,6),(8,6),(5,16),(19,15),(11,15),(0,19),(0,11),(4,23),(18,7),(18,9),(23,7),(14,18),(16,15),(1,20),(19,22),(19,23),(8,23),(8,1),(4,10),(10,2),(6,23),(17,13),(18,20),(23,14),(0,4),(20,6),(11,7),(21,23),(13,8),(21,8),(19,8),(0,3),(13,17),(8,15),(10,9),(8,24),(15,10),(1,7),(4,22),(0,20),(19,11),(7,2),(14,20),(18,16),(19,3),(15,16),(6,9),(3,14),(5,9),(21,0),(10,10),(23,0),(19,4)];300
25x25_15a_10obs;[(5,8),(19,14)],[(2,23),(22,3)],[(4,23),(18,22)],[(1,9),(19,2)],[(2,21),(22,14)],[(0,10),(18,18)],[(0,23),(21,6)],[(3,7),(20,20)],[(5,24),(18,4)],[(4,8),(23,1)],[(4,7),(20,8)],[(5,21),(19,22)],[(3,2),(23,11)],[(5,16),(22,15)],[(5,6),(23,14)];(25,25);[(21,11),(19,10),(3,5),(19,5),(15,22),(10,7),(9,24),(24,13),(20,10),(15,1),(20,15),(5,9),(10,22),(3,8),(9,14),(0,5),(20,3),(9,23),(24,14),(0,0),(3,23),(22,23),(0,17),(9,18),(14,18),(24,7),(14,14),(24,17),(21,20),(0,8),(17,0),(6,5),(10,17),(10,15),(4,0),(11,22),(21,5),(5,11),(23,9),(17,6),(15,4),(17,23),(21,19),(22,6),(16,7),(23,0),(21,0),(13,18),(18,7),(2,10),(13,22),(16,18),(13,14),(22,9),(14,6),(1,1),(10,20),(15,13),(13,17),(8,20),(2,3),(0,16)];300
25x25_5a_20obs;[(4,19),(21,7)],[(5,0),(19,17)],[(2,20),(22,15)],[(0,1),(20,3)],[(5,11),(23,14)];(25,25);[(8,19),(14,22),(4,15),(14,10),(13,1),(2,7),(4,22),(0,23),(6,13),(6,18),(0,2),(19,9),(10,14),(11,3),(3,3),(16,13),(7,10),(19,18),(22,0),(6,8),(9,19),(13,17),(0,8),(14,5),(6,2),(5,21),(7,4),(0,7),(14,4),(23,19),(21,0),(17,17),(20,17),(21,8),(20,4),(22,21),(1,3),(21,3),(20,0),(2,4),(1,6),(3,2),(15,5),(2,15),(17,7),(23,22),(19,21),(14,18),(10,18),(22,19),(13,21),(18,23),(3,1),(4,16),(5,15),(7,6),(10,13),(14,15),(24,6),(2,19),(8,14),(13,0),(3,10),(5,3),(21,2),(15,22),(15,20),(7,18),(11,4),(22,3),(14,23),(0,18),(18,2),(15,10),(2,21),(24,0),(9,22),(9,2),(11,1),(22,13),(18,17),(3,8),(15,6),(4,23),(20,24),(23,0),(23,10),(19,15),(11,11),(19,4),(11,20),(5,18),(7,5),(6,21),(4,11),(20,15),(7,2),(6,16),(21,19),(17,10),(20,1),(6,4),(17,20),(14,8),(2,11),(9,15),(10,16),(24,13),(4,10),(11,13),(2,10),(0,21),(16,2),(8,22),(10,1),(20,7),(21,4),(8,20),(7,21),(4,13),(13,24),(14,20),(11,0),(19,22),(1,19)];300
25x25_2a_25obs;[(2,18),(23,6)],[(3,2),(19,22)];(25,25);[(18,5),(6,9),(13,18),(3,24),(22,6),(21,6),(23,20),(4,6),(15,22),(11,22),(4,17),(14,5),(14,6),(23,10),(4,23),(7,10),(10,2),(21,10),(6,18),(17,19),(14,4),(15,15),(0,18),(2,19),(5,4),(21,22),(7,17),(1,7),(10,16),(18,2),(8,1),(5,2),(2,17),(18,10),(1,0),(23,9),(21,2),(16,20),(17,21),(8,0),(23,19),(5,24),(1,14),(8,19),(19,18),(11,21),(0,20),(21,21),(16,14),(1,11),(0,21),(2,8),(8,17),(4,10),(20,17),(4,7),(5,0),(1,8),(21,14),(20,0),(17,14),(4,21),(23,24),(5,18),(0,22),(4,4),(2,14),(8,16),(11,10),(10,10),(9,3),(17,3),(6,23),(15,18),(1,18),(4,8),(8,8),(24,19),(22,8),(9,11),(15,16),(13,20),(14,9),(15,24),(5,6),(23,4),(18,14),(16,23),(23,18),(22,10),(10,6),(24,21),(7,11),(5,8),(15,8),(2,11),(0,10),(16,17),(14,22),(4,3),(16,2),(7,18),(17,10),(9,9),(1,22),(9,8),(21,9),(5,22),(3,19),(14,17),(9,6),(16,19),(18,23),(18,11),(21,5),(24,7),(2,6),(7,0),(17,16),(6,15),(0,14),(8,5),(19,14),(8,21),(15,19),(11,23),(13,21),(13,11),(23,23),(21,17),(19,10),(11,3),(19,17),(14,24),(21,18),(15,14),(15,2),(11,14),(11,9),(5,21),(19,0),(17,20),(5,14),(6,1),(11,16),(11,13),(6,13),(23,1),(15,1),(22,1),(1,6),(4,19),(19,8),(11,1),(2,24),(3,3)];300
15x25_5a_5obs;[(0,9),(11,6)],[(1,22),(11,24)],[(2,15),(11,7)],[(1,8),(11,20)],[(2,2),(12,7)];(15,25);[(2,19),(6,22),(6,2),(4,10),(12,6),(2,10),(8,4),(4,14),(9,15),(14,4),(0,22),(12,5),(9,21),(14,13),(1,13),(2,8),(3,4),(2,9),(8,3)];300
15x25_10a_15obs;[(1,24),(13,4)],[(2,1),(11,16)],[(2,11),(11,1)],[(1,18),(11,11)],[(1,0),(14,19)],[(1,5),(12,9)],[(2,2),(13,1)],[(2,16),(11,20)],[(2,22),(13,19)],[(1,21),(13,7)];(15,25);[(2,8),(0,1),(8,22),(4,6),(8,19),(2,17),(12,16),(1,8),(8,10),(12,17),(12,22),(0,22),(2,14),(9,14),(9,21),(12,18),(11,15),(6,16),(13,3),(5,16),(14,7),(10,21),(8,1),(13,21),(3,9),(5,22),(9,11),(0,16),(2,15),(14,21),(0,4),(3,19),(11,4),(12,0),(6,19),(5,0),(9,18),(4,11),(13,2),(8,4),(11,23),(5,23),(9,0),(3,15),(9,19),(6,17),(10,15),(4,18),(6,22),(4,5),(12,14),(4,14),(10,8),(14,20),(0,9),(4,16)];300
15x25_15a_10obs;[(2,19),(11,10)],[(1,9),(11,6)],[(0,20),(13,22)],[(1,14),(14,16)],[(1,4),(13,5)],[(0,6),(14,11)],[(0,24),(13,13)],[(2,18),(13,15)],[(0,18),(12,6)],[(2,6),(12,16)],[(2,7),(11,23)],[(1,21),(14,2)],[(1,18),(13,4)],[(0,2),(12,1)],[(2,2),(11,22)];(15,25);[(12,18),(0,14),(0,0),(13,1),(3,8),(10,20),(2,13),(8,3),(8,22),(6,3),(9,3),(1,13),(9,22),(6,11),(2,15),(0,19),(1,3),(6,21),(2,3),(5,16),(13,21),(14,23),(5,18),(2,0),(4,1),(8,24),(1,22),(6,15),(6,22),(8,0),(6,6),(0,23),(4,15),(3,10),(4,8),(4,7),(10,6),(1,5)];300
15x25_5a_20obs;[(1,22),(13,19)],[(2,7),(13,3)],[(2,23),(12,8)],[(2,5),(14,7)],[(0,24),(13,18)];(15,25);[(6,6),(11,10),(11,13),(9,8),(8,22),(11,0),(12,10),(6,23),(5,1),(3,13),(2,19),(1,18),(6,0),(8,16),(4,8),(10,19),(0,18),(0,21),(13,1),(10,3),(14,4),(10,10),(9,7),(4,19),(5,3),(9,14),(1,7),(2,16),(1,5),(14,2),(4,5),(14,18),(9,0),(11,21),(8,7),(0,8),(1,17),(4,9),(8,21),(10,16),(13,2),(5,6),(8,14),(9,3),(5,23),(14,24),(3,17),(3,11),(10,7),(13,0),(3,3),(13,24),(2,3),(5,7),(10,13),(13,13),(12,15),(6,21),(12,14),(6,7),(1,13),(0,4),(5,8),(10,24),(14,8),(13,10),(0,6),(4,13),(0,17),(8,6),(2,14),(0,5),(9,11),(8,23),(11,4)];300
15x25_2a_25obs;[(2,18),(13,1)],[(1,5),(12,24)];(15,25);[(9,21),(5,0),(1,11),(0,23),(0,3),(9,1),(12,0),(2,2),(12,20),(12,3),(0,20),(13,19),(11,24),(8,9),(0,21),(6,1),(0,6),(6,19),(1,17),(14,5),(4,3),(14,3),(10,9),(0,4),(5,4),(5,17),(11,19),(4,7),(10,22),(2,19),(13,20),(8,7),(6,6),(8,10),(4,22),(10,8),(10,15),(14,17),(10,2),(1,2),(11,0),(2,24),(6,8),(12,4),(8,2),(8,11),(5,1),(2,8),(3,24),(12,7),(6,24),(9,10),(2,13),(2,20),(6,3),(4,17),(1,23),(10,7),(0,8),(14,4),(12,5),(14,20),(3,14),(12,11),(12,18),(12,17),(10,18),(2,17),(1,10),(6,21),(4,4),(14,7),(2,22),(2,0),(8,1),(5,8),(1,3),(12,9),(13,17),(3,15),(6,0),(0,11),(0,10),(8,23),(6,9),(0,19),(5,10),(11,10),(1,24),(14,0),(13,11),(4,2),(1,19),(0,14)];300
20x30_5a_5obs;[(4,17),(16,6)],[(0,25),(16,23)],[(1,17),(19,19)],[(0,27),(18,5)],[(2,28),(18,17)];(20,30);[(13,22),(13,16),(6,11),(16,10),(11,18),(14,6),(5,16),(0,7),(5,4),(5,12),(2,25),(6,29),(12,11),(2,7),(3,29),(13,18),(1,21),(11,17),(7,23),(16,12),(8,22),(9,5),(14,19),(15,28),(3,10),(4,28),(16,29),(0,0),(14,23),(13,21)];300
